rise,expected,expected_label,measured,is_upper_limit,ratio,fwhm,peak_snr
0.005,0.005,rise,0.0050312762254441454,False,1.0062552450888291,0.015664395375493027,30.0
0.008972126509288622,0.008972126509288622,rise,0.010533767560834965,False,1.1740547293810017,0.028108587400087818,30.0
0.01609981081973593,0.01609981081973593,rise,0.015025921463895813,False,0.9332980140037613,0.05043876043019682,30.0
0.028889907890056892,0.028889907890056892,rise,0.017857788224296674,False,0.6181324043072782,0.09050858791028535,30.0
0.0518407816862572,0.0518407816862572,rise,0.034488567320343146,False,0.6652786898366916,0.16241090018163018,30.0
0.09302441032590249,0.09302441032590249,rise,0.06187246610952886,False,0.6651207558614384,0.29143422858340656,30.0
0.16692535557919433,0.16692535557919433,rise,0.11120001621165068,False,0.666166118537301,0.5229569535974522,30.0
0.2995350815729038,0.2995350815729038,rise,0.17222718700779685,False,0.5749816886336183,0.9384071893177043,30.0
0.5374933291684361,0.5374933291684361,rise,0.358098613807684,False,0.6662382477596581,1.6839016039568804,30.0
0.9644916294395843,0.9644916294395843,rise,0.6432018425446794,False,0.6668817259911425,3.021635643979032,30.0
1.7307081832963747,1.7307081832963747,rise,1.0629073664907058,False,0.6141459182715892,5.422099452551135,30.0
3.1056265542392314,3.1056265542392314,rise,1.6569316038901842,False,0.5335257072774721,9.729552446846672,30.0
5.572814867048093,5.572814867048093,rise,3.2304412992992875,False,0.579678560362879,17.458955086373386,30.0
10.0,10.0,rise,6.711500469470494,False,0.6711500469470494,31.328790750986055,30.0
